Japonês,Furigana,Romaji,Significado
日本,にほん,nihon,Japão
日本人,にほんじん,nihonjin,japonês / japonesa (nacionalidade)
アメリカ,あめりか,amerika,Estados Unidos
アメリカ人,あめりかじん,amerikajin,americano / americana
イギリス,いぎりす,igirisu,Reino Unido / Inglaterra
イギリス人,いぎりすじん,igirisujin,britânico / britânica
中国,ちゅうごく,chuugoku,China
中国人,ちゅうごくじん,chuugokujin,chinês / chinesa
韓国,かんこく,kankoku,Coreia do Sul
韓国人,かんこくじん,kankokujin,coreano / coreana
フランス,ふらんす,furansu,França
フランス人,ふらんすじん,furansujin,francês / francesa
ドイツ,どいつ,doitsu,Alemanha
ドイツ人,どいつじん,doitsujin,alemão / alemã
ブラジル,ぶらじる,burajiru,Brasil
ブラジル人,ぶらじるじん,burajirujin,brasileiro / brasileira
インド,いんど,indo,Índia
インド人,いんどじん,indojin,indiano / indiana
カナダ,かなだ,kanada,Canadá
カナダ人,かなだじん,kanadajin,canadense
ロシア,ろしあ,roshia,Rússia
ロシア人,ろしあじん,roshiajin,russo / russa
スペイン,すぺいん,supein,Espanha
スペイン人,すぺいんじん,supeinjin,espanhol / espanhola
タイ,たい,tai,Tailândia
タイ人,たいじん,taijin,tailandês / tailandesa
ベトナム,べとなむ,betonamu,Vietnã
ベトナム人,べとなむじん,betonamujin,vietnamita
フィリピン,ふぃりぴん,firipin,Filipinas
フィリピン人,ふぃりぴんじん,firipinjin,filipino / filipina
